sent_id,noun_phrase
142,chaste
142,the moon
142,countenance
144,fortune
144,the moon
144,ebb
145,flow
145,the sea
145,the sea
146,the moon
146,proof
146,a purse
146,gold
147,night
148,morning
150,an ebb
150,the foot
150,the ladder
151,a flow
151,the ridge
153,hostess
153,the tavern
153,sweet wench
154,the honey
154,old lad
154,the castle
155,a buff jerkin
155,sweet robe
155,durance
156,mad wag
157,a plague
158,buff jerkin
159,a pox
159,hostess
159,the tavern
160,hast
161,time
161,oft
162,Did
162,thee
162,thy part
163,thee thy
163,thou hast
164,Yea
164,coin
165,credit
166,Yea
167,apparent
168,wag
169,thou art king
169,resolution
170,the rusty curb
170,old father
170,the law
171,thou art king
171,a thief
172,thou shalt
173,Shall
173,rare
173,a brave judge
175,the hanging
175,a rare hangman
176,some sort
177,humour
177,the court
180,Yea
180,the hangman
181,hath
181,no lean wardrobe
181,melancholy
182,a gib cat
182,a lugged bear
183,an old lion
183,a lover
183,lute
184,Yea
184,the drone
184,bagpipe
185,thou
185,a hare
185,the melancholy
186,Moor-ditch
187,art
189,prince
189,trouble
190,vanity
190,thou
191,commodity
192,lord
192,the council
192,the other day
193,street
195,the street
196,didst
196,wisdom
197,no man
198,thou hast
198,damnable iteration
198,art
199,a saint
199,much harm
200,thee
201,thee
201,nothing
201,a man
203,this life
204,a villain
205,a king
205,son
207,a purse tomorrow
208,thou wilt
208,lad
209,villain
210,a good amendment
210,life
210,thee
211,purse-taking
212,vocation
212,no sin
213,man
213,vocation
214,Enter
216,match
216,merit
217,hole
217,hell
218,omnipotent villain
219,a true man
220,Good morrow
221,Good morrow
223,the devil
223,thee
223,thy soul
223,thou
224,a cup
225,a cold capon
225,leg
226,word
226,the devil
227,bargain
227,a breaker
228,proverbs
228,the devil
229,thou
229,thy word
229,the devil
230,the devil
231,to-morrow morning
232,o'clock
236,to-night
237,supper to-morrow night
238,secure
238,sleep
240,home
241,ye
241,home
245,a thief
245,faith
246,honesty
246,manhood
247,fellowship
247,thee
247,the blood
248,royal
249,a madcap
251,home
252,a traitor
252,thou art king
254,the prince
255,this adventure
257,the spirit
257,persuasion
258,profiting
258,speakest
259,move
260,true prince
260,recreation sake
261,thief
261,the time
262,countenance
262,Farewell
263,thou latter spring
263,farewell
263,All-hallown summer
264,Exit
265,good sweet honey lord
265,ride
266,to-morrow
266,a jest
267,manage
270,the booty
271,this head
272,part
272,forth
273,forth
274,a place
274,meeting
274,wherein
275,pleasure
277,no sooner
278,Yea
280,appointment
281,Tut
282,the wood
283,sirrah
283,buckram
284,the nonce
284,noted outward
285,Yea
288,reason
289,The virtue
289,this jest
290,this same fat rogue
291,supper
291,thirty
293,the reproof
294,the jest
295,thee
296,to-morrow night
298,lord
299,Exit
301,The unyoked humour
301,idleness
302,herein
302,the sun
303,the base
304,beauty
304,the world
306,wonder 'd
307,the foul
309,the year
311,come
312,nothing
313,this loose behavior
314,the debt
315,word
317,bright metal
317,a sullen ground
318,reformation
318,fault
320,Than
320,no foil
321,offence
321,a skill
322,time
323,Exit
324,The palace
326,blood hath
326,temperate
327,Unapt
329,patience
330,henceforth
331,condition
332,oil
333,that title
333,respect
334,the proud soul ne'er
334,the proud
335,house
335,sovereign liege
336,The scourge
336,greatness
337,that same greatness
339,lord.
341,disobedience
341,thine eye
342,sir
342,presence
342,peremptory
343,majesty
343,endure
344,The moody frontier
344,a servant brow
346,use
346,counsel
347,Exit
350,Yea
350,good lord
351,highness
351,name
353,such strength
354,majesty
355,Either envy
355,misprison
356,this fault
356,son
357,liege
358,the fight
359,rage
359,extreme toil
360,faint
360,sword
361,Came
361,a certain lord
361,neat
361,dress
362,a bridegroom
362,chin new reap
363,a stubble-land
363,harvest-home
364,a milliner
365,finger
365,thumb
366,A pouncet-box
367,nose
369,snuff
372,a slovenly unhandsome corse
373,the wind
373,nobility
374,many holiday
374,lady
375,question
375,the rest
376,majesty
376,behalf
378,a popinjay
379,grief
379,impatience
382,smell
384,the mark
385,the sovereign'st thing
385,earth
386,parmaceti
386,an inward bruise
387,great pity
388,This villanous salt-petre
389,the harmless earth
390,a good tall fellow
392,a soldier
393,This bald
393,chat
393,lord
395,report
396,an accusation
397,love
397,high majesty
398,The circumstance consider
398,lord
400,a person
400,a place
401,a time
401,the rest retold
402,die
403,any way impeach
406,proviso
406,exception
407,own charge
407,straight
408,brother-in-law
409,soul
409,hath
411,that great magician
411,damn
412,daughter
414,a traitor home
415,Shall
415,indent
417,the barren
418,man
418,friend
419,tongue
419,penny cost
420,home
421,Mortimer
422,sovereign liege
423,the chance
423,war
424,tongue
426,sedgy bank
427,single opposition
427,hand
427,hand
428,part
428,an hour
429,hardiment
429,great Glendower
432,agreement
432,flood
433,bloody
435,crisp head
435,the hollow bank
437,base
437,rotten policy
439,the noble Mortimer
441,revolt
442,dost belie
442,belie
443,encounter
445,the devil
446,an enemy
447,Art
447,henceforth
448,Mortimer
449,the speediest
450,a kind
452,departure
452,son
454,train
455,the devil come
455,roar
456,straight
457,heart
458,a hazard
458,head
459,drunk
459,choler
459,stay
459,pause awhile
460,uncle
463,soul
464,mercy
465,part
466,dear blood drop
466,drop
466,the dust
468,the air
468,this unthankful king
469,this ingrate
469,canker
470,the king hath
470,nephew mad
471,this heat
473,the ransom
474,wife
474,brother
474,cheek look
475,face
475,an eye
475,death
476,the name
478,blood
479,the proclamation
480,the unhappy king
481,pardon
481,forth
482,Irish expedition
483,whence
485,death
485,the world
485,wide mouth
488,brother
489,Heir
489,the crown
491,cousin king
492,the barren
492,starve
493,the crown
494,the head
494,this forgetful man
495,sake
495,the detested blot
496,murderous subornation
497,a world
499,the ladder
499,the hangman
501,the line
501,the predicament
502,this subtle king
503,shame
504,time
505,nobility
505,power
506,an unjust behalf
509,An plant
509,this thorn
509,this canker
510,further spoken
513,time
515,the world
516,the jeering
516,disdain
517,this proud king
517,day
517,night
518,the debt
519,the bloody payment
521,Peace
521,cousin
522,a secret book
525,peril
525,adventurous spirit
526,a current roaring loud
527,the unsteadfast footing
527,a spear
528,good night
529,danger
529,the east
529,the west
530,honour cross
530,the north
531,the blood
532,a lion
532,a hare
533,Imagination
533,some great exploit
534,patience
535,heaven
535,an easy leap
536,bright honour
536,the pale-faced moon
537,the bottom
537,the deep
538,fathom-line
538,the ground
539,honour
540,thence
541,corrival
542,this half-faced fellowship
543,a world
544,the form
545,Good cousin
545,audience
545,a while
551,soul
552,this hand
554,no ear
558,tongue
560,ear
563,Nothing
564,anger
564,motion
565,cousin
565,a word
567,this Bolingbroke
568,that same sword-and-buckler Prince
569,father
570,some mischance
571,a pot
571,ale
572,kinsman
574,impatient fool
575,Art thou
575,this woman
575,mood
576,thine ear
576,no tongue
577,look
579,this vile politician
580,time
580,the place
581,A plague
582,'T
582,the madcap
582,uncle
583,uncle
583,knee
584,this king
585,'Sblood
587,castle
589,a candy deal
589,courtesy
590,This fawning greyhound
591,infant fortune
591,age
592,cousin
594,Good uncle
594,tale
596,leisure
597,i
597,faith
599,ransom
600,son
600,only mean
603,lord
605,son
606,the bosom creep
607,that same noble prelate
608,The archbishop
611,brother
611,death
612,estimation
615,the face
616,that occasion
617,life
618,the game
618,let'st slip
619,a noble plot
620,the power
621,ha
623,faith
624,no little reason
625,a head
627,The king
627,debt
629,a time
629,home
631,love
633,farewell
634,course
635,time
638,fashion
640,much uncertainty
641,good brother
642,Uncle
643,sport
644,Exeunt
646,An inn yard
647,a lantern
647,hand
648,Heigh-ho
648,the day
649,wain
649,the new chimney
650,horse
650,ostler
651,[
651,anon
652,saddle
653,the point
653,poor jade
654,all cess
656,dank
656,a dog
657,the next way
658,house
659,fellow
659,the price
660,the death
661,villanous house
662,road
662,a tench
663,a tench
663,the mass
663,a king
664,bit
665,the first cock
666,a jordan
667,leak
667,chimney
668,a loach
669,ostler
670,a gammon
670,bacon
670,ginger
672,body
672,the turkeys
672,pannier
673,ostler
673,plague
673,thee
673,hast thou
674,an eye
674,thy head
674,canst
675,good deed
675,drink
675,the pate
676,thee
676,villain
677,hast thou
677,no faith
677,thee
679,Good morrow
679,o'clock
680,o'clock
683,a trick worth
683,i
683,faith
685,can'st tell
686,marry
687,carrier
687,time
688,a candle
689,thee
690,gentleman
690,company
691,great charge
692,Exeunt
693,ho
693,chamberlain
694,[
694,hand
694,quoth pick-purse
695,hand
696,chamberlain
697,direction doth
697,labouring
698,thou
698,the plot
699,Enter Chamberlain
700,Good morrow
701,a franklin
702,wild
702,hath
703,gold
704,company
704,last night
704,supper
704,a kind
704,auditor
705,abundance
705,charge
706,butter
709,thee
709,this neck
710,none
710,thee keep
711,hangman
712,a man
712,falsehood
713,thou
713,the hangman
714,a fat pair
716,Tut
716,thou
717,sport sake
718,content
718,the profession
718,some grace
720,credit sake
720,all whole
721,foot-land
721,no long-staff sixpenny
722,none
722,these mad mustachio
723,nobility
723,tranquillity
725,strike sooner
725,speak
725,speak sooner
726,drink
726,pray
727,saint
728,commonwealth
728,pray
728,prey
731,the commonwealth
732,water
732,foul way
733,hath
734,steal
734,a castle
734,cocksure
734,the receipt
736,faith
737,the night
738,thy hand
738,thou shalt
738,a share
739,purchase
739,a true man
740,a false thief
741,a common name
742,ostler
744,Exeunt
745,The highway
747,shelter
747,shelter
748,horse
748,a gummed velvet
749,close
752,Peace
752,a brawling dost
753,thou keep
755,the top
755,the hill
756,that thief
756,company
757,rascal hath
757,horse
758,foot
758,the squier
759,further afoot
759,wind
760,a fair death
761,'scape
761,that rogue
762,company
762,any time
764,rogue
764,company
764,the rascal hath
767,Hal
767,a plague
767,Bardolph
767,Peto
768,a foot
769,a deed
769,drink
769,true man
770,varlet
771,a tooth
772,ground
774,a plague
776,Whew
776,A plague
776,horse
777,horse
778,Peace
778,lay thine
779,the ground
779,list
779,thou canst
779,the tread
782,'Sblood
782,mine own flesh
782,afoot
783,the coin
783,thy father
783,exchequer
784,a plague mean ye
785,thou art
785,thou art
786,horse
787,good king
787,son
788,ostler
789,thine own heir-apparent
791,sung
792,a cup
792,sack
792,poison
792,a jest
797,setter
797,voice
798,news
799,case ye
800,money
800,the king
800,the hill
801,the king
801,exchequer
802,ye rogue
802,the king
802,tavern
805,the narrow lane
807,encounter
811,a coward
812,grandfather
813,no coward
814,the proof
815,thy horse
815,the hedge
816,thou
816,thou shalt
820,stand
822,happy man
822,dole
823,every man
823,business
825,neighbour
825,the boy
826,the hill
826,afoot awhile
827,Stand
828,bless
829,Strike
830,ah
830,whoreson
831,youth
833,ye
833,ye undone
834,store
836,ye
837,Exeunt
841,argument
841,a week
841,laughter
841,a month
842,a good jest
843,close
845,share
846,day
847,no equity stirring
848,a wild-duck
849,money
851,a blow
851,the booty
852,much ease
852,horse
853,fear
855,fellow
855,an officer
856,death
857,the lean earth
859,the rogue roar
860,Exeunt
861,castle
862,solus
862,a letter
863,'But
863,mine
863,own part
863,lord
864,respect
864,the love
865,house
866,respect
866,the love
866,house
867,own barn
868,house
869,purpose
870,'t
870,a cold
871,drink
871,lord fool
872,danger
872,this flower
872,safety
873,purpose
874,the time
875,whole plot
875,the counterpoise
876,an opposition
877,hind
878,a lack-brain
879,plot
879,a good plot
880,a good plot
881,expectation
881,an excellent plot
882,a frosty-spirited rogue
883,lord
883,the plot
884,general course
884,action
885,brain
885,lady
885,fan
886,father
886,uncle
886,lord
887,lord
889,the ninth
890,next month
892,infidel
892,Ha
892,sincerity
893,fear
893,cold heart
893,the king
893,lay
895,a dish
896,milk
896,an action
897,the king
898,to-night
901,good lord
902,offence
903,woman
903,bed
904,sweet lord
904,thee
905,stomach
905,pleasure
905,thy golden sleep
906,dost thou
906,the earth
907,thou sit'st
908,hast thou
908,the fresh blood
908,thy cheeks
909,thee
910,thick-eyed musing
911,thy faint
912,thee murmur
912,iron
913,manage
913,steed
914,'Courage
914,the field
914,hast talk
917,cannon
917,culverin
918,ransom
919,a heady fight
920,spirit
920,thee hath
920,war
921,hath
921,thy sleep
922,sweat
922,thy brow
923,a late-disturbed stream
924,thy face
925,breath
926,some great sudden hest
927,Some heavy business hath
927,lord
927,hand
929,ho
930,Enter
931,the packet
932,lord
932,an hour
933,the sheriff
934,horse
934,lord
935,horse
935,a roan
936,lord
937,throne
938,O esperance
939,the park
940,Exit Servant
941,lord
942,thou
942,lady
944,horse
944,love
944,horse
945,mad-headed ape
946,A weasel hath
946,a deal
946,spleen
947,faith
948,business
949,brother
949,doth stir
950,title
950,hath sent
951,line
951,enterprise
952,love
954,this question
955,faith
955,thy little finger
956,thou
959,thee
959,no world
961,crack
962,horse
963,thou
963,thou
968,jest
969,wilt thou
970,horseback
971,hark
972,henceforth question
973,reason whereabout
975,This evening
976,no farther wise
977,wife
978,a woman
978,secrecy
979,No lady
980,dost
981,thee
983,an inch
983,hark
985,To-day
985,forth
985,to-morrow
986,this content
987,force
988,Exeunt
991,prithee
991,that fat room
992,thy hand
993,hast
995,score
996,base-string
996,humility
996,sworn brother
997,a leash
998,christen
999,salvation
1000,the prince
1001,courtesy
1002,a lad
1002,mettle
1003,good boy
1004,king
1005,deep
1006,scarlet
1006,watering
1007,cry
1008,a proficient
1008,quarter
1008,an hour
1009,any tinker
1009,own language
1010,life
1010,thou hast
1011,much honour
1011,thou wert
1011,this sweet
1012,action
1012,name
1013,thee
1013,this pennyworth
1013,sugar
1014,hand
1014,an under-skinker
1015,life
1016,sixpence
1017,this shrill addition
1017,anon
1017,sir
1017,Score
1017,a pint
1018,bastard
1019,the time
1019,come
1020,some by-room
1021,puny drawer
1021,the sugar
1022,thou
1022,tale
1023,nothing
1024,a precedent
1025,Francis
1026,art perfect
1027,Francis
1028,Exit POINS
1030,anon
1030,sir
1031,hither
1032,lord
1033,long hast thou
1035,[
1036,anon
1036,sir
1037,year
1037,r lady
1037,a long lease
1037,the clinking
1038,pewter
1038,thou
1039,the coward
1039,thy indenture
1040,a fair pair
1041,sir
1042,heart
1043,[
1044,sir
1045,old art thou
1047,[
1048,sir
1048,lord
1049,hark
1049,the sugar thou
1050,a pennyworth
1052,thee
1052,a thousand pound
1053,thou wilt
1053,thou shalt
1054,[
1055,anon
1057,o
1058,thou wilt
1059,lord
1060,thou rob
1060,this leathern jerkin
1060,crystal-button
1061,caddis-garter
1062,smooth-tongue
1063,sir
1064,brown bastard
1064,only drink
1065,look
1065,white canvas doublet
1066,sir
1067,sir
1068,[
1069,dost
1070,the drawer
1070,way
1072,thou
1074,Exit
1075,lord
1076,the door
1077,awhile
1077,the door
1078,Exit
1080,Re-enter POINS
1081,anon
1081,sir
1082,the rest
1083,the door
1084,merry
1084,lad
1084,hark ye
1085,match
1085,this jest
1086,drawer
1086,the issue
1089,pupil age
1089,this present twelve o'clock
1089,midnight
1091,o'clock
1092,anon
1092,sir
1093,Exit
1094,this fellow
1095,parrot
1095,the son
1095,a woman
1095,industry
1096,eloquence
1096,the parcel
1097,a reckoning
1097,mind
1098,the north
1099,dozen
1099,a breakfast
1100,wife
1101,life
1101,work
1101,sweet
1102,to-day
1102,roan
1103,horse
1103,a drench
1104,fourteen
1104,an hour
1104,a trifle
1104,a trifle
1105,prithee
1105,call
1106,brawn
1107,wife
1107,the drunkard
1107,ribs
1107,call
1107,tallow
1108,wine
1109,hast thou
1110,A plague
1110,a vengeance
1111,marry
1111,a cup
1111,sack
1111,boy
1112,lead
1112,this life
1113,plague
1114,a cup
1114,sack
1114,rogue
1114,no virtue extant
1116,thou
1116,a dish
1116,butter
1117,the sweet tale
1118,the sun
1118,thou didst
1118,compound
1119,lime
1119,this sack
1120,nothing
1120,roguery
1120,villanous man
1121,a coward
1121,a cup
1121,sack
1121,lime
1122,A villanous coward
1123,die
1123,thou wilt
1123,manhood
1123,good manhood
1124,the face
1124,the earth
1125,shotten herring
1127,the while
1127,a bad world
1128,a weaver
1129,thing
1129,A plague
1130,wool-sack
1130,mutter
1131,A king
1131,son
1131,thy
1132,kingdom
1132,a dagger
1132,lath
1132,all thy
1133,a flock
1134,hair
1134,face
1135,round man
1135,the matter
1136,a coward
1137,fat paunch
1137,an ye call
1137,coward
1138,thee
1139,thee coward
1140,thee coward
1140,pound
1141,thou canst
1143,call
1144,plague
1144,such backing
1145,face
1145,a cup
1145,sack
1145,a rogue
1146,drunk to-day
1147,villain
1147,thou
1151,A plague
1152,the matter
1153,the matter
1154,pound
1154,this day morning
1158,man
1159,a rogue
1159,half-sword
1160,dozen
1161,miracle
1162,doublet
1162,the hose
1162,buckler cut
1163,sword
1164,hand-saw
1164,ecce signum
1165,a man
1165,plague
1167,truth
1167,darkness
1169,some dozen
1170,lord
1173,every man
1176,the rest
1179,a bunch
1179,radish
1181,no two-legged creature
1183,past praying
1186,a lie
1186,spit
1186,face
1186,horse
1187,old ward
1188,point
1188,buckram let drive
1189,thou saidst
1191,ay
1192,thrust
1194,target
1196,buckram
1198,a villain
1199,anon
1200,thou hear
1201,mark thee
1202,the listening
1203,buckram
1203,thee
1206,hose
1207,ground
1208,foot
1208,hand
1209,the eleven
1211,the devil
1211,misbegotten
1212,back
1212,let drive
1213,thou couldst
1214,thy hand
1215,father
1216,a mountain
1216,thou
1217,thou knotty-pated fool
1217,thou
1218,whoreson
1218,obscene
1218,grease tallow-catch
1219,mad
1219,art thou mad
1219,the truth
1220,the truth
1221,couldst thou
1222,green
1222,dark thou couldst
1223,hand
1223,come
1223,reason
1223,thou
1224,reason
1224,reason
1225,compulsion
1226,strappado
1226,the world
1227,compulsion
1227,a reason
1228,compulsion
1229,no man
1229,a reason
1230,compulsion
1231,this sin
1231,this sanguine
1232,coward
1232,this bed-presser
1232,this horseback-breaker
1233,this huge hill
1233,flesh
1234,'Sblood
1235,neat
1235,tongue
1235,pizzle
1235,O
1236,breath
1236,like thee
1237,tailor's-yard
1238,standing-tuck
1239,breathe awhile
1240,thou
1240,base
1244,wealth
1244,a plain
1246,a word
1247,prize
1248,the house
1249,quick dexterity
1250,mercy
1251,bull-calf
1251,a slave art thou
1251,thy sword
1252,thou hast
1252,fight
1253,trick
1253,device
1253,canst
1254,thou
1254,thee
1255,apparent shame
1256,let
1256,hast thou
1257,ye
1257,ye
1258,hear
1259,heir-apparent
1259,the true prince
1260,thou
1261,beware instinct
1261,the lion
1262,prince
1262,a great matter
1263,coward
1263,instinct
1264,life
1264,a valiant
1265,lion
1265,thou
1265,a true prince
1266,the money
1266,clap
1267,watch to-night
1267,pray to-morrow
1268,gold
1269,good fellowship
1270,merry
1270,a play
1271,Content
1271,the argument
1272,an thou
1274,lord
1274,the prince
1275,lady
1275,the hostess
1275,thou
1277,lord
1277,a nobleman
1277,the court
1278,door
1279,father
1280,a royal man
1281,mother
1282,manner
1282,man
1283,An old man
1284,doth gravity
1284,bed
1284,midnight
1284,Shall
1285,answer
1287,'Faith
1288,Exit
1289,r lady
1292,prince
1292,fie
1294,earnest
1295,sword
1296,dagger
1297,swear truth
1298,fight
1298,the like
1299,Yea
1299,spear-grass
1301,the blood
1302,year
1304,villain
1304,thou
1304,a cup
1304,sack
1305,the manner
1306,thou hast
1306,hadst fire
1307,sword
1307,thy side
1308,instinct hadst thou
1309,lord
1314,lord
1315,halter
1317,bare-bone
1318,sweet creature
1318,bombast
1319,long is't
1319,thou
1319,thine
1319,own knee
1320,own knee
1321,an eagle
1321,talon
1321,the waist
1322,crept
1322,any alderman
1322,thumb-ring
1322,a plague
1323,sighing
1323,grief
1323,a man
1324,bladder
1324,villanous news
1325,father
1326,court
1326,the morning
1326,That same mad fellow
1328,bastinado
1328,cuckold
1329,true liegeman
1329,the cross
1330,hook
1330,a plague call
1332,son-in-law
1334,o
1334,horseback
1334,a hill
1335,perpendicular
1336,high speed
1336,pistol
1337,a sparrow
1339,the sparrow
1340,that rascal hath
1340,good mettle
1341,a rascal art thou
1343,horseback
1343,ye cuckoo
1343,a foot
1344,instinct
1345,ye
1345,instinct
1347,thy father
1348,beard
1348,the news
1349,land
1349,mackerel
1351,this civil buffeting hold
1353,the mass
1353,lad
1354,good trading
1354,that way
1355,art
1355,horrible afeard
1355,thou
1356,heir-apparent
1356,the world pick thee
1358,spirit
1358,devil
1358,thou
1359,thy blood thrill
1361,a whit
1361,i
1361,faith
1361,thy instinct
1362,chid tomorrow
1362,thou
1363,comest
1363,father
1363,an answer
1364,father
1365,life
1366,Shall
1366,content
1366,this chair
1366,state
1367,this dagger
1367,sceptre
1367,this cushion
1367,crown
1368,state
1368,a joined-stool
1369,sceptre
1369,a leaden dagger
1370,crown
1370,a pitiful bald crown
1371,the fire
1371,grace
1371,thee
1372,thou
1372,a cup
1372,sack
1374,wept
1374,passion
1375,vein
1376,leg
1377,speech
1377,nobility
1378,excellent sport
1378,i
1378,faith
1379,sweet queen
1380,the father
1380,countenance
1381,sake
1381,tristful queen
1383,these harlotry
1385,Peace
1385,good pint-pot
1385,peace
1385,good tickle-brain
1386,thy
1387,time
1387,thou art
1388,the camomile
1388,the faster
1389,youth
1390,sooner
1390,That thou art
1390,son
1391,mother
1391,word
1391,own opinion
1392,a villanous trick
1392,thine eye
1393,foolish-hanging
1393,nether lip
1393,doth warrant
1394,son
1394,the point
1395,son
1395,Shall
1396,the blessed sun
1396,heaven
1396,a micher
1396,eat
1397,a question
1398,the sun
1398,a thief
1399,question
1399,a thing
1400,hast
1401,land
1401,the name
1401,pitch
1401,this pitch
1402,report
1402,defile
1403,the company
1404,speak
1404,drink
1405,pleasure
1405,passion
1406,a virtuous man
1407,thy company
1407,name
1408,manner
1408,man
1408,majesty
1409,man
1409,i
1409,faith
1409,a corpulent
1410,cheerful look
1410,a pleasing eye
1411,carriage
1411,age
1411,some fifty
1412,r lady
1412,score
1413,name
1413,that man
1415,the tree
1416,the fruit
1416,the fruit
1416,the tree
1417,virtue
1418,the rest banish
1419,naughty varlet
1419,hast
1420,this month
1421,thou speak
1421,a king
1422,father
1423,thou
1424,word
1424,matter
1425,a rabbit-sucker
1425,a poulter
1425,hare
1427,judge
1428,whence come
1429,noble lord
1431,'Sblood
1431,lord
1431,nay
1432,ye
1432,a young prince
1432,i
1432,faith
1433,thou
1433,ungracious boy
1433,henceforth ne'er look
1434,grace
1435,thee
1435,the likeness
1436,old fat man
1436,a tun
1436,man
1436,thy companion
1437,dost
1437,that trunk
1438,bolting-hutch
1438,beastliness
1438,swollen parcel
1439,huge bombard
1439,sack
1440,cloak-bag
1440,ox
1441,the pudding
1441,belly
1441,vice
1442,grey iniquity
1442,father ruffian
1442,that vanity
1443,sack
1444,wherein neat
1445,capon
1445,wherein cunning
1445,craft
1446,wherein crafty
1446,villany
1447,wherein
1447,nothing
1448,grace
1449,grace
1450,That villanous abominable misleader
1450,youth
1452,lord
1452,the man
1454,harm
1456,the pity
1457,reverence
1457,a whoremaster
1458,sack
1458,sugar
1458,a fault
1459,merry
1460,sin
1460,an old host
1461,lean kine
1462,good lord
1464,kind
1467,company
1468,company
1468,banish plump
1468,the world
1470,A knocking heard
1473,lord
1473,lord
1473,the sheriff
1474,monstrous watch
1474,the door
1475,the play
1476,the behalf
1478,lord
1478,lord
1479,heigh
1479,the devil
1479,a fiddlestick
1480,the matter
1481,The sheriff
1481,the watch
1481,the door
1482,the house
1483,thou hear
1483,a true piece
1484,gold
1484,a counterfeit
1484,thou art
1486,a natural coward
1486,instinct
1487,the sheriff
1488,a cart
1489,another man
1489,a plague
1490,a halter
1491,thee
1491,the rest walk
1492,a true face
1493,conscience
1494,date
1496,Call
1496,the sheriff
1499,master sheriff
1500,lord
1500,A hue
1500,cry
1501,this house
1503,gracious lord
1504,A gross fat man
1505,butter
1506,The man
1507,this time
1508,sheriff
1508,word
1509,to-morrow dinner-time
1510,thee
1510,any man
1511,any thing
1511,withal
1512,the house
1513,lord
1514,this robbery
1517,Good night
1517,noble lord
1518,good morrow
1519,lord
1519,o'clock
1523,Falstaff
1524,a horse
1525,breath
1527,thou
1528,Nothing
1528,lord
1530,capon
1531,Item
1533,Item
1533,sack
1533,supper
1534,Item
1534,ob
1535,half-penny-worth
1535,bread
1536,this intolerable deal
1536,sack
1537,close
1537,advantage
1538,till day
1538,the court
1539,morning
1539,thy place
1540,this fat rogue
1541,charge
1541,foot
1541,death
1542,march
1542,twelve-score
1542,The money
1543,advantage
1544,the morning
1544,good morrow
1545,Exeunt
1546,Good morrow
1546,lord
1548,house
1551,induction
1551,prosperous hope
1552,cousin
1554,a plague
1555,the map
1557,cousin
1557,sit
1557,good cousin
1558,that name
1559,speak
1560,sigh
1560,heaven
1561,hell
1561,spoke
1562,nativity
1563,The front
1563,heaven
1564,birth
1565,The frame
1565,huge foundation
1565,the earth
1566,a coward
1567,the same season
1568,mother
1568,cat
1570,the earth
1571,the earth
1571,mind
1573,fire
1573,the earth
1574,the earth shook
1574,fire
1575,fear
1575,nativity
1576,nature
1576,forth
1577,earth
1578,a kind
1578,colic pinch
1579,the imprisoning
1579,unruly wind
1580,womb
1580,enlargement striving
1581,the old beldam earth
1582,birth
1583,grandam earth
1583,this distemperature
1584,passion shook
1587,birth
1588,The front
1588,heaven
1592,life
1593,the roll
1594,the sea
1596,pupil
1596,hath read
1597,woman
1597,son
1598,art
1599,pace
1600,no man
1602,Peace
1602,cousin
1603,the vasty deep
1604,any man
1606,cousin
1607,The devil
1608,thee
1608,coz
1608,the devil
1609,truth
1609,tell truth
1609,the devil
1610,power
1611,power
1612,truth
1612,the devil
1613,this unprofitable chat
1614,head
1615,power
1615,thrice
1617,home
1617,weather-beaten back
1618,Home
1618,foul weather
1619,the devil
1619,name
1620,the map
1620,right
1621,threefold order ta'en
1622,The archdeacon hath
1624,hitherto
1625,part assign
1626,All westward
1626,shore
1627,the fertile land
1627,that bound
1628,dear coz
1629,The remnant northward
