line_id,line,noun_phrase
33,"Of you, my gentle cousin Westmoreland,",my gentle cousin Westmoreland
34,What yesternight our council did decree,What yesternight
34,What yesternight our council did decree,our council
34,What yesternight our council did decree,decree
36,"My liege, this haste was hot in question,",this haste
36,"My liege, this haste was hot in question,",question
37,And many limits of the charge set down,many limits
37,And many limits of the charge set down,the charge
38,But yesternight: when all athwart there came,all athwart
39,"A post from Wales loaden with heavy news,",A post
39,"A post from Wales loaden with heavy news,",Wales
39,"A post from Wales loaden with heavy news,",heavy news
41,Leading the men of Herefordshire to fight,the men
41,Leading the men of Herefordshire to fight,Herefordshire
42,"Against the irregular and wild Glendower,",the irregular and wild Glendower
43,"Was by the rude hands of that Welshman taken,",the rude hands
43,"Was by the rude hands of that Welshman taken,",that Welshman
44,"A thousand of his people butchered,",his people
45,"Upon whose dead corpse there was such misuse,",whose dead corpse
45,"Upon whose dead corpse there was such misuse,",such misuse
46,"Such beastly shameless transformation,",Such beastly shameless transformation
47,By those Welshwomen done as may not be,those Welshwomen
48,Without much shame retold or spoken of.,much shame retold
49,It seems then that the tidings of this broil,It
49,It seems then that the tidings of this broil,this broil
50,Brake off our business for the Holy Land.,Brake
50,Brake off our business for the Holy Land.,our business
50,Brake off our business for the Holy Land.,the Holy Land
51,"This match'd with other did, my gracious lord,",This match'd
51,"This match'd with other did, my gracious lord,",other did
52,For more uneven and unwelcome news,more uneven and unwelcome news
53,Came from the north and thus it did import:,the north
53,Came from the north and thus it did import:,it
53,Came from the north and thus it did import:,import
54,"On Holy-rood day, the gallant Hotspur there,",Holy-rood day
54,"On Holy-rood day, the gallant Hotspur there,",the gallant Hotspur
55,"Young Harry Percy and brave Archibald,",Young Harry Percy
55,"Young Harry Percy and brave Archibald,",brave Archibald
56,"That ever-valiant and approved Scot,",That ever-valiant
56,"That ever-valiant and approved Scot,",Scot
57,"At Holmedon met,",Holmedon
58,"Where they did spend a sad and bloody hour,",they
58,"Where they did spend a sad and bloody hour,",a sad and bloody hour
59,"As by discharge of their artillery,",discharge
59,"As by discharge of their artillery,",their artillery
60,"And shape of likelihood, the news was told,",likelihood
60,"And shape of likelihood, the news was told,",the news
61,"For he that brought them, in the very heat",he
61,"For he that brought them, in the very heat",that
61,"For he that brought them, in the very heat",them
61,"For he that brought them, in the very heat",the very heat
62,"And pride of their contention did take horse,",pride
62,"And pride of their contention did take horse,",their contention
62,"And pride of their contention did take horse,",horse
63,Uncertain of the issue any way.,Uncertain
63,Uncertain of the issue any way.,the issue
64,"Here is a dear, a true industrious friend,","a dear, a true industrious friend"
65,"Sir Walter Blunt, new lighted from his horse.",Sir Walter Blunt
65,"Sir Walter Blunt, new lighted from his horse.",his horse
66,Stain'd with the variation of each soil,the variation
66,Stain'd with the variation of each soil,each soil
67,"Betwixt that Holmedon and this seat of ours,",ours
68,And he hath brought us smooth and welcome news.,he
68,And he hath brought us smooth and welcome news.,us
68,And he hath brought us smooth and welcome news.,smooth and welcome news
69,The Earl of Douglas is discomfited:,The Earl
69,The Earl of Douglas is discomfited:,Douglas
70,"Ten thousand bold Scots, two and twenty knights,",Ten thousand bold Scots
70,"Ten thousand bold Scots, two and twenty knights,",two and twenty knights
71,Balk'd in their own blood did Sir Walter see,their own blood
71,Balk'd in their own blood did Sir Walter see,Sir Walter
72,"On Holmedon's plains. Of prisoners, Hotspur took",Holmedon's plains
72,"On Holmedon's plains. Of prisoners, Hotspur took",prisoners
72,"On Holmedon's plains. Of prisoners, Hotspur took",Hotspur
73,"Mordake the Earl of Fife, and eldest son",Mordake
73,"Mordake the Earl of Fife, and eldest son",the Earl
73,"Mordake the Earl of Fife, and eldest son",Fife
73,"Mordake the Earl of Fife, and eldest son",eldest son
74,"To beaten Douglas, and the Earl of Athol,",Douglas
74,"To beaten Douglas, and the Earl of Athol,",the Earl
74,"To beaten Douglas, and the Earl of Athol,",Athol
75,"Of Murray, Angus, and Menteith:",Murray
75,"Of Murray, Angus, and Menteith:",Angus
75,"Of Murray, Angus, and Menteith:",Menteith
76,And is not this an honourable spoil?,this
76,And is not this an honourable spoil?,an honourable spoil
77,"A gallant prize? ha, cousin, is it not?",A gallant prize
77,"A gallant prize? ha, cousin, is it not?","ha, cousin"
77,"A gallant prize? ha, cousin, is it not?",it
78,"In faith,",faith
79,It is a conquest for a prince to boast of.,It
79,It is a conquest for a prince to boast of.,a conquest
79,It is a conquest for a prince to boast of.,a prince
80,"Yea, there thou makest me sad and makest me sin",thou
80,"Yea, there thou makest me sad and makest me sin",me
80,"Yea, there thou makest me sad and makest me sin",me
81,In envy that my Lord Northumberland,envy
81,In envy that my Lord Northumberland,my Lord Northumberland
82,"Should be the father to so blest a son,",the father
82,"Should be the father to so blest a son,",a son
83,"A son who is the theme of honour's tongue,",A son
83,"A son who is the theme of honour's tongue,",who
83,"A son who is the theme of honour's tongue,",the theme
83,"A son who is the theme of honour's tongue,",honour's tongue
84,"Amongst a grove, the very straightest plant,",a grove
85,Who is sweet Fortune's minion and her pride:,Who
85,Who is sweet Fortune's minion and her pride:,sweet Fortune's minion
85,Who is sweet Fortune's minion and her pride:,her pride
86,"Whilst I, by looking on the praise of him,",I
86,"Whilst I, by looking on the praise of him,",the praise
86,"Whilst I, by looking on the praise of him,",him
87,See riot and dishonour stain the brow,riot
87,See riot and dishonour stain the brow,dishonour stain
88,Of my young Harry. O that it could be proved,my young Harry
88,Of my young Harry. O that it could be proved,it
89,That some night-tripping fairy had exchanged,some night-tripping fairy
90,"In cradle-clothes our children where they lay,",cradle-clothes
90,"In cradle-clothes our children where they lay,",our children
90,"In cradle-clothes our children where they lay,",they
91,"And call'd mine Percy, his Plantagenet!",And call'd mine Percy
91,"And call'd mine Percy, his Plantagenet!",his Plantagenet
92,"Then would I have his Harry, and he mine.",I
92,"Then would I have his Harry, and he mine.",his Harry
92,"Then would I have his Harry, and he mine.",he
93,"But let him from my thoughts. What think you, coz,",him
93,"But let him from my thoughts. What think you, coz,",my thoughts
93,"But let him from my thoughts. What think you, coz,",What
93,"But let him from my thoughts. What think you, coz,",you
93,"But let him from my thoughts. What think you, coz,",coz
94,"Of this young Percy's pride? the prisoners,",this young Percy's pride
94,"Of this young Percy's pride? the prisoners,",the prisoners
95,"Which he in this adventure hath surprised,",Which
95,"Which he in this adventure hath surprised,",he
95,"Which he in this adventure hath surprised,",this adventure
96,"To his own use he keeps, and sends me word,",his own use
96,"To his own use he keeps, and sends me word,",he
96,"To his own use he keeps, and sends me word,",me
96,"To his own use he keeps, and sends me word,",word
97,I shall have none but Mordake Earl of Fife.,I
97,I shall have none but Mordake Earl of Fife.,none
97,I shall have none but Mordake Earl of Fife.,Mordake Earl
97,I shall have none but Mordake Earl of Fife.,Fife
98,"This is his uncle's teaching, this is Worcester,",This
98,"This is his uncle's teaching, this is Worcester,",his uncle's teaching
98,"This is his uncle's teaching, this is Worcester,",this
99,"Malevolent to you in all aspects,",Malevolent
99,"Malevolent to you in all aspects,",you
99,"Malevolent to you in all aspects,",all aspects
100,"Which makes him prune himself, and bristle up",Which
100,"Which makes him prune himself, and bristle up",him
100,"Which makes him prune himself, and bristle up",himself
101,The crest of youth against your dignity.,The crest
101,The crest of youth against your dignity.,youth
101,The crest of youth against your dignity.,your dignity
102,"But I have sent for him to answer this,",I
102,"But I have sent for him to answer this,",him
102,"But I have sent for him to answer this,",this
103,And for this cause awhile we must neglect,this cause
103,And for this cause awhile we must neglect,we
104,Our holy purpose to Jerusalem.,Our holy purpose
104,Our holy purpose to Jerusalem.,Jerusalem
105,"Cousin, on Wednesday next our council we",Cousin
105,"Cousin, on Wednesday next our council we",Wednesday
105,"Cousin, on Wednesday next our council we",our council
105,"Cousin, on Wednesday next our council we",we
106,"Will hold at Windsor, so inform the lords:",Windsor
106,"Will hold at Windsor, so inform the lords:",the lords
107,"But come yourself with speed to us again,",yourself
107,"But come yourself with speed to us again,",speed
107,"But come yourself with speed to us again,",us
109,Than out of anger can be uttered.,anger
110,"I will, my liege.",I
111,Exeunt,Exeunt
112,SCENE II. London. An apartment of the Prince's.,SCENE II
112,SCENE II. London. An apartment of the Prince's.,London
112,SCENE II. London. An apartment of the Prince's.,An apartment
112,SCENE II. London. An apartment of the Prince's.,the Prince
113,Enter the PRINCE OF WALES and FALSTAFF,the PRINCE
113,Enter the PRINCE OF WALES and FALSTAFF,WALES
113,Enter the PRINCE OF WALES and FALSTAFF,FALSTAFF
114,"Now, Hal, what time of day is it, lad?",Hal
114,"Now, Hal, what time of day is it, lad?",what time
114,"Now, Hal, what time of day is it, lad?",day
114,"Now, Hal, what time of day is it, lad?",it
115,"Thou art so fat-witted, with drinking of old sack",Thou art
115,"Thou art so fat-witted, with drinking of old sack",drinking
115,"Thou art so fat-witted, with drinking of old sack",old sack
116,and unbuttoning thee after supper and sleeping upon,thee
116,and unbuttoning thee after supper and sleeping upon,supper
117,"benches after noon, that thou hast forgotten to",noon
117,"benches after noon, that thou hast forgotten to",thou hast
118,demand that truly which thou wouldst truly know.,which thou
119,What a devil hast thou to do with the time of the,What a devil hast thou
119,What a devil hast thou to do with the time of the,the time
119,What a devil hast thou to do with the time of the,the
120,day? Unless hours were cups of sack and minutes,day
120,day? Unless hours were cups of sack and minutes,hours
120,day? Unless hours were cups of sack and minutes,cups
120,day? Unless hours were cups of sack and minutes,sack
120,day? Unless hours were cups of sack and minutes,minutes
121,capons and clocks the tongues of bawds and dials the,capons
121,capons and clocks the tongues of bawds and dials the,the tongues
121,capons and clocks the tongues of bawds and dials the,bawds
121,capons and clocks the tongues of bawds and dials the,dials
121,capons and clocks the tongues of bawds and dials the,the
122,signs of leaping-houses and the blessed sun himself,signs
122,signs of leaping-houses and the blessed sun himself,leaping-houses
122,signs of leaping-houses and the blessed sun himself,the blessed sun
122,signs of leaping-houses and the blessed sun himself,himself
123,"a fair hot wench in flame-coloured taffeta, I see no",flame-coloured taffeta
123,"a fair hot wench in flame-coloured taffeta, I see no",I
124,reason why thou shouldst be so superfluous to demand,reason
124,reason why thou shouldst be so superfluous to demand,thou shouldst
125,the time of the day.,the time
125,the time of the day.,the day
126,"Indeed, you come near me now, Hal, for we that take",you
126,"Indeed, you come near me now, Hal, for we that take",me
126,"Indeed, you come near me now, Hal, for we that take",we
126,"Indeed, you come near me now, Hal, for we that take",that
127,"purses go by the moon and the seven stars, and not",purses
127,"purses go by the moon and the seven stars, and not",the moon
127,"purses go by the moon and the seven stars, and not",the seven stars
128,"by Phoebus, he,'that wandering knight so fair.' And,",Phoebus
128,"by Phoebus, he,'that wandering knight so fair.' And,","he,'that"
129,"I prithee, sweet wag, when thou art king, as, God",I
129,"I prithee, sweet wag, when thou art king, as, God",", as, God"
130,"save thy grace,--majesty I should say, for grace",thy
130,"save thy grace,--majesty I should say, for grace","grace,--majesty"
130,"save thy grace,--majesty I should say, for grace",I
130,"save thy grace,--majesty I should say, for grace",grace
131,"thou wilt have none,--",thou wilt
131,"thou wilt have none,--","none,--"
132,"What, none?","What, none"
133,"No, by my troth, not so much as will serve to",my troth
134,prologue to an egg and butter.,prologue
134,prologue to an egg and butter.,an egg
134,prologue to an egg and butter.,butter
136,"Marry, then, sweet wag, when thou art king, let not",Marry
136,"Marry, then, sweet wag, when thou art king, let not","then, sweet wag"
136,"Marry, then, sweet wag, when thou art king, let not",thou art king
137,us that are squires of the night's body be called,us
137,us that are squires of the night's body be called,that
137,us that are squires of the night's body be called,squires
137,us that are squires of the night's body be called,the night's body
138,thieves of the day's beauty: let us be Diana's,thieves
138,thieves of the day's beauty: let us be Diana's,the day's beauty
138,thieves of the day's beauty: let us be Diana's,us
138,thieves of the day's beauty: let us be Diana's,Diana
139,"foresters, gentlemen of the shade, minions of the",foresters
139,"foresters, gentlemen of the shade, minions of the",gentlemen
139,"foresters, gentlemen of the shade, minions of the",the shade
139,"foresters, gentlemen of the shade, minions of the",", minions"
139,"foresters, gentlemen of the shade, minions of the",the
140,"moon, and let men say we be men of good government,",moon
140,"moon, and let men say we be men of good government,",men
140,"moon, and let men say we be men of good government,",we
140,"moon, and let men say we be men of good government,",men
140,"moon, and let men say we be men of good government,",good government
141,"being governed, as the sea is, by our noble and",the sea
142,"chaste mistress the moon, under whose countenance we steal.",chaste mistress
142,"chaste mistress the moon, under whose countenance we steal.",the moon
142,"chaste mistress the moon, under whose countenance we steal.",whose countenance
142,"chaste mistress the moon, under whose countenance we steal.",we
143,"Thou sayest well, and it holds well too, for the",it
143,"Thou sayest well, and it holds well too, for the",the
144,fortune of us that are the moon's men doth ebb and,fortune
144,fortune of us that are the moon's men doth ebb and,us
144,fortune of us that are the moon's men doth ebb and,that
144,fortune of us that are the moon's men doth ebb and,the moon's men doth ebb
145,"flow like the sea, being governed, as the sea is,",the sea
145,"flow like the sea, being governed, as the sea is,",the sea
146,"by the moon. As, for proof, now: a purse of gold",the moon
146,"by the moon. As, for proof, now: a purse of gold",proof
146,"by the moon. As, for proof, now: a purse of gold",gold
147,most resolutely snatched on Monday night and most,Monday night
148,"dissolutely spent on Tuesday morning, got with",Tuesday morning
149,"swearing 'Lay by' and spent with crying 'Bring in,'",Lay
150,now in as low an ebb as the foot of the ladder,as low an ebb
150,now in as low an ebb as the foot of the ladder,the foot
150,now in as low an ebb as the foot of the ladder,the ladder
151,and by and by in as high a flow as the ridge of the gallows.,in as high a flow
151,and by and by in as high a flow as the ridge of the gallows.,the ridge
151,and by and by in as high a flow as the ridge of the gallows.,the gallows
152,"By the Lord, thou sayest true, lad. And is not my",the Lord
152,"By the Lord, thou sayest true, lad. And is not my",my
153,hostess of the tavern a most sweet wench?,hostess
153,hostess of the tavern a most sweet wench?,the tavern
154,"As the honey of Hybla, my old lad of the castle. And",the honey
154,"As the honey of Hybla, my old lad of the castle. And",Hybla
154,"As the honey of Hybla, my old lad of the castle. And",my old lad
154,"As the honey of Hybla, my old lad of the castle. And",the castle
155,is not a buff jerkin a most sweet robe of durance?,a buff
155,is not a buff jerkin a most sweet robe of durance?,a most sweet robe
155,is not a buff jerkin a most sweet robe of durance?,durance
156,"How now, how now, mad wag! what, in thy quips and","How now, how now, mad wag"
156,"How now, how now, mad wag! what, in thy quips and",thy quips
157,thy quiddities? what a plague have I to do with a,thy quiddities
157,thy quiddities? what a plague have I to do with a,what a plague
157,thy quiddities? what a plague have I to do with a,I
157,thy quiddities? what a plague have I to do with a,a
158,buff jerkin?,buff jerkin
159,"Why, what a pox have I to do with my hostess of the tavern?",what a pox
159,"Why, what a pox have I to do with my hostess of the tavern?",I
159,"Why, what a pox have I to do with my hostess of the tavern?",my hostess
159,"Why, what a pox have I to do with my hostess of the tavern?",the tavern
160,"Well, thou hast called her to a reckoning many a",thou hast
160,"Well, thou hast called her to a reckoning many a",her
160,"Well, thou hast called her to a reckoning many a",a reckoning
161,time and oft.,time
161,time and oft.,oft
162,Did I ever call for thee to pay thy part?,I
162,Did I ever call for thee to pay thy part?,thee
162,Did I ever call for thee to pay thy part?,thy part
163,"No, I'll give thee thy due, thou hast paid all there.",I
163,"No, I'll give thee thy due, thou hast paid all there.",thee
163,"No, I'll give thee thy due, thou hast paid all there.",thou hast
164,"Yea, and elsewhere, so far as my coin would stretch,",my coin
165,"and where it would not, I have used my credit.",it
165,"and where it would not, I have used my credit.",I
165,"and where it would not, I have used my credit.",my credit
166,"Yea, and so used it that were it not here apparent",it
166,"Yea, and so used it that were it not here apparent",that
166,"Yea, and so used it that were it not here apparent",it
167,"that thou art heir apparent--But, I prithee, sweet",that thou art heir
167,"that thou art heir apparent--But, I prithee, sweet",I
168,"wag, shall there be gallows standing in England when",gallows
168,"wag, shall there be gallows standing in England when",England
169,thou art king? and resolution thus fobbed as it is,thou art king
169,thou art king? and resolution thus fobbed as it is,resolution
169,thou art king? and resolution thus fobbed as it is,it
170,with the rusty curb of old father antic the law? Do,the rusty curb
170,with the rusty curb of old father antic the law? Do,old father
170,with the rusty curb of old father antic the law? Do,the law
171,"not thou, when thou art king, hang a thief.",thou art king
171,"not thou, when thou art king, hang a thief.",a thief
172,"No, thou shalt.","No, thou shalt"
173,"Shall I? O rare! By the Lord, I'll be a brave judge.",I
173,"Shall I? O rare! By the Lord, I'll be a brave judge.",O rare
173,"Shall I? O rare! By the Lord, I'll be a brave judge.",the Lord
173,"Shall I? O rare! By the Lord, I'll be a brave judge.",I
173,"Shall I? O rare! By the Lord, I'll be a brave judge.",a brave judge
174,"Thou judgest false already: I mean, thou shalt have",Thou judgest
174,"Thou judgest false already: I mean, thou shalt have",false
174,"Thou judgest false already: I mean, thou shalt have",I
174,"Thou judgest false already: I mean, thou shalt have",thou shalt
175,the hanging of the thieves and so become a rare hangman.,the hanging
175,the hanging of the thieves and so become a rare hangman.,the thieves
175,the hanging of the thieves and so become a rare hangman.,a rare hangman
176,"Well, Hal, well, and in some sort it jumps with my",Hal
176,"Well, Hal, well, and in some sort it jumps with my",some sort
176,"Well, Hal, well, and in some sort it jumps with my",it
176,"Well, Hal, well, and in some sort it jumps with my",my
177,"humour as well as waiting in the court, I can tell",the court
177,"humour as well as waiting in the court, I can tell",I
178,you.,you
179,For obtaining of suits?,obtaining
179,For obtaining of suits?,suits
180,"Yea, for obtaining of suits, whereof the hangman",obtaining
180,"Yea, for obtaining of suits, whereof the hangman",suits
180,"Yea, for obtaining of suits, whereof the hangman",the hangman
181,"hath no lean wardrobe. 'Sblood, I am as melancholy",no lean wardrobe
181,"hath no lean wardrobe. 'Sblood, I am as melancholy",I
182,as a gib cat or a lugged bear.,a gib cat
182,as a gib cat or a lugged bear.,a lugged bear
183,"Or an old lion, or a lover's lute.",Or an old lion
184,"Yea, or the drone of a Lincolnshire bagpipe.",the drone
184,"Yea, or the drone of a Lincolnshire bagpipe.",a Lincolnshire bagpipe
185,"What sayest thou to a hare, or the melancholy of",What sayest thou
185,"What sayest thou to a hare, or the melancholy of",a hare
185,"What sayest thou to a hare, or the melancholy of",the melancholy
186,Moor-ditch?,Moor-ditch
187,Thou hast the most unsavoury similes and art indeed,Thou hast
187,Thou hast the most unsavoury similes and art indeed,the most unsavoury similes
187,Thou hast the most unsavoury similes and art indeed,art
189,"prince. But, Hal, I prithee, trouble me no more",prince
189,"prince. But, Hal, I prithee, trouble me no more",Hal
189,"prince. But, Hal, I prithee, trouble me no more",me
190,with vanity. I would to God thou and I knew where a,vanity
190,with vanity. I would to God thou and I knew where a,I
190,with vanity. I would to God thou and I knew where a,God
190,with vanity. I would to God thou and I knew where a,I
191,commodity of good names were to be bought. An old,commodity
191,commodity of good names were to be bought. An old,good names
192,lord of the council rated me the other day in the,lord
192,lord of the council rated me the other day in the,the council
192,lord of the council rated me the other day in the,me
192,lord of the council rated me the other day in the,the
193,"street about you, sir, but I marked him not, and yet",street
193,"street about you, sir, but I marked him not, and yet",you
193,"street about you, sir, but I marked him not, and yet",I
193,"street about you, sir, but I marked him not, and yet",him
194,"he talked very wisely, but I regarded him not, and",he
194,"he talked very wisely, but I regarded him not, and",I
194,"he talked very wisely, but I regarded him not, and",him
195,"yet he talked wisely, and in the street too.",he
195,"yet he talked wisely, and in the street too.",the street
196,"Thou didst well, for wisdom cries out in the",Thou
196,"Thou didst well, for wisdom cries out in the",wisdom
196,"Thou didst well, for wisdom cries out in the",the
197,"streets, and no man regards it.",streets
197,"streets, and no man regards it.",no man
197,"streets, and no man regards it.",it
198,"O, thou hast damnable iteration and art indeed able",thou hast damnable iteration
198,"O, thou hast damnable iteration and art indeed able",art
199,to corrupt a saint. Thou hast done much harm upon,a saint
199,to corrupt a saint. Thou hast done much harm upon,Thou hast
199,to corrupt a saint. Thou hast done much harm upon,much harm
200,"me, Hal, God forgive thee for it! Before I knew",me
200,"me, Hal, God forgive thee for it! Before I knew",Hal
200,"me, Hal, God forgive thee for it! Before I knew",God
200,"me, Hal, God forgive thee for it! Before I knew",thee
200,"me, Hal, God forgive thee for it! Before I knew",it
200,"me, Hal, God forgive thee for it! Before I knew",I
201,"thee, Hal, I knew nothing, and now am I, if a man",thee
201,"thee, Hal, I knew nothing, and now am I, if a man",I
201,"thee, Hal, I knew nothing, and now am I, if a man",nothing
201,"thee, Hal, I knew nothing, and now am I, if a man",I
202,"should speak truly, little better than one of the",the
203,"wicked. I must give over this life, and I will give",I
203,"wicked. I must give over this life, and I will give",this life
203,"wicked. I must give over this life, and I will give",I
204,"it over: by the Lord, and I do not, I am a villain:",it
204,"it over: by the Lord, and I do not, I am a villain:",the Lord
204,"it over: by the Lord, and I do not, I am a villain:",I
204,"it over: by the Lord, and I do not, I am a villain:",I
204,"it over: by the Lord, and I do not, I am a villain:",a villain
205,I'll be damned for never a king's son in,I
205,I'll be damned for never a king's son in,never a king's son
206,Christendom.,Christendom
207,"Where shall we take a purse tomorrow, Jack?",we
207,"Where shall we take a purse tomorrow, Jack?",a purse
208,"'Zounds, where thou wilt, lad, I'll make one, an I",'Zounds
208,"'Zounds, where thou wilt, lad, I'll make one, an I",lad
208,"'Zounds, where thou wilt, lad, I'll make one, an I",I
208,"'Zounds, where thou wilt, lad, I'll make one, an I",an I
209,"do not, call me villain and baffle me.",me
209,"do not, call me villain and baffle me.",me
210,"I see a good amendment of life in thee, from praying",I
210,"I see a good amendment of life in thee, from praying",a good amendment
210,"I see a good amendment of life in thee, from praying",life
210,"I see a good amendment of life in thee, from praying",thee
211,to purse-taking.,to purse-taking
212,"Why, Hal, 'tis my vocation, Hal, 'tis no sin for a","Why, Hal"
212,"Why, Hal, 'tis my vocation, Hal, 'tis no sin for a",my vocation
212,"Why, Hal, 'tis my vocation, Hal, 'tis no sin for a",Hal
212,"Why, Hal, 'tis my vocation, Hal, 'tis no sin for a",no sin
212,"Why, Hal, 'tis my vocation, Hal, 'tis no sin for a",a
213,man to labour in his vocation.,man
213,man to labour in his vocation.,his vocation
214,Enter POINS,POINS
215,Poins! Now shall we know if Gadshill have set a,Poins
215,Poins! Now shall we know if Gadshill have set a,we
215,Poins! Now shall we know if Gadshill have set a,Gadshill
215,Poins! Now shall we know if Gadshill have set a,a
216,"match. O, if men were to be saved by merit, what",match
216,"match. O, if men were to be saved by merit, what",men
216,"match. O, if men were to be saved by merit, what",merit
217,hole in hell were hot enough for him? This is the,hole
217,hole in hell were hot enough for him? This is the,hell
217,hole in hell were hot enough for him? This is the,him
217,hole in hell were hot enough for him? This is the,This
217,hole in hell were hot enough for him? This is the,the
218,most omnipotent villain that ever cried 'Stand' to,most omnipotent villain
218,most omnipotent villain that ever cried 'Stand' to,that
218,most omnipotent villain that ever cried 'Stand' to,'Stand
219,a true man.,a true man
220,"Good morrow, Ned.",Good morrow
220,"Good morrow, Ned.",Ned
221,"Good morrow, sweet Hal. What says Monsieur Remorse?",Good morrow
221,"Good morrow, sweet Hal. What says Monsieur Remorse?",sweet Hal
221,"Good morrow, sweet Hal. What says Monsieur Remorse?",What
221,"Good morrow, sweet Hal. What says Monsieur Remorse?",Monsieur Remorse
222,what says Sir John Sack and Sugar? Jack! how,what
222,what says Sir John Sack and Sugar? Jack! how,Sir John Sack
222,what says Sir John Sack and Sugar? Jack! how,Sugar
222,what says Sir John Sack and Sugar? Jack! how,Jack
223,"agrees the devil and thee about thy soul, that thou",the devil
223,"agrees the devil and thee about thy soul, that thou",thee
223,"agrees the devil and thee about thy soul, that thou",thy soul
224,soldest him on Good-Friday last for a cup of Madeira,him
224,soldest him on Good-Friday last for a cup of Madeira,Good-Friday
224,soldest him on Good-Friday last for a cup of Madeira,a cup
224,soldest him on Good-Friday last for a cup of Madeira,Madeira
225,and a cold capon's leg?,and a cold capon's leg
226,"Sir John stands to his word, the devil shall have",Sir John
226,"Sir John stands to his word, the devil shall have",his word
226,"Sir John stands to his word, the devil shall have",the devil
227,"his bargain, for he was never yet a breaker of",his bargain
227,"his bargain, for he was never yet a breaker of",he
227,"his bargain, for he was never yet a breaker of",a breaker
228,proverbs: he will give the devil his due.,he
228,proverbs: he will give the devil his due.,the devil
228,proverbs: he will give the devil his due.,his due
