line_id,sentence,entity,label
708,"Sirrah, if they meet not with Saint Nicholas'",Saint Nicholas',PERSON
715,"Sir John hangs with me, and thou knowest he is no",John,PERSON
715,"Sir John hangs with me, and thou knowest he is no",thou,GPE
716,starveling. Tut! there are other Trojans that thou,Trojans,NORP
745,"SCENE II. The highway, near Gadshill.",Gadshill,GPE
746,Enter PRINCE HENRY and POINS,PRINCE HENRY,PERSON
747,"Come, shelter, shelter: I have removed Falstaff's",Falstaff,GPE
753,thou keep!,thou,GPE
754,"Where's Poins, Hal?",Hal,PERSON
758,not where. If I travel but four foot by the squier,four foot,QUANTITY
762,forsworn his company hourly any time this two and,hourly,TIME
762,forsworn his company hourly any time this two and,two,CARDINAL
763,"twenty years, and yet I am bewitched with the",twenty years,DATE
771,ever chewed with a tooth. Eight yards of uneven,Eight yards,QUANTITY
772,"ground is threescore and ten miles afoot with me,",ten miles,QUANTITY
779,to the ground and list if thou canst hear the tread,thou,GPE
782,"'Sblood, I'll not bear mine own flesh so far afoot",Sblood,PERSON
785,"Thou liest, thou art not colted, thou art uncolted.",Thou,GPE
785,"Thou liest, thou art not colted, thou art uncolted.",thou,GPE
785,"Thou liest, thou art not colted, thou art uncolted.",thou,GPE
786,"I prithee, good Prince Hal, help me to my horse,",Prince Hal,PERSON
794,"Enter GADSHILL, BARDOLPH and PETO",BARDOLPH,ORG
794,"Enter GADSHILL, BARDOLPH and PETO",PETO,ORG
805,"Sirs, you four shall front them in the narrow lane,",four,CARDINAL
806,Ned Poins and I will walk lower: if they 'scape,Ned Poins,PERSON
809,Some eight or ten.,Some eight,CARDINAL
811,"What, a coward, Sir John Paunch?",John Paunch,PERSON
812,"Indeed, I am not John of Gaunt, your grandfather,",John,PERSON
812,"Indeed, I am not John of Gaunt, your grandfather,",Gaunt,PERSON
813,"but yet no coward, Hal.",Hal,PERSON
815,"Sirrah Jack, thy horse stands behind the hedge:",Sirrah Jack,PERSON
819,"Ned, where are our disguises?",Ned,PERSON
821,Exeunt PRINCE HENRY and POINS,PRINCE HENRY,PERSON
828,Jesus bless us!,Jesus,PERSON
830,ah! whoreson caterpillars! bacon-fed knaves! they,whoreson,PERSON
830,ah! whoreson caterpillars! bacon-fed knaves! they,bacon-fed,ORG
838,Re-enter PRINCE HENRY and POINS,PRINCE HENRY,PERSON
840,"and I rob the thieves and go merrily to London, it",London,GPE
841,"would be argument for a week, laughter for a month",a week,DATE
841,"would be argument for a week, laughter for a month",a month,DATE
844,Enter the Thieves again,Thieves,ORG
846,before day. An the Prince and Poins be not two,two,CARDINAL
851,"As they are sharing, the Prince and Poins set upon  them, they all run away, and Falstaff, after a blow or two, runs away too, leaving the booty behind them",Falstaff,GPE
851,"As they are sharing, the Prince and Poins set upon  them, they all run away, and Falstaff, after a blow or two, runs away too, leaving the booty behind them",two,CARDINAL
856,"Away, good Ned. Falstaff sweats to death,",Ned,PERSON
883,"this! Why, my lord of York commends the plot and the",York,LOC
884,"general course of action. 'Zounds, an I were now by",Zounds,GPE
887,"Edmund Mortimer, My lord of York and Owen Glendower?",Edmund Mortimer,PERSON
887,"Edmund Mortimer, My lord of York and Owen Glendower?",York,LOC
887,"Edmund Mortimer, My lord of York and Owen Glendower?",Owen Glendower,PERSON
888,is there not besides the Douglas? have I not all,Douglas,PERSON
889,their letters to meet me in arms by the ninth of the,ninth,ORDINAL
890,next month? and are they not some of them set,next month,DATE
891,forward already? What a pagan rascal is this! an,pagan,GPE
899,Enter LADY PERCY,PERCY,PERSON
900,"How now, Kate! I must leave you within these two hours.",Kate,PERSON
900,"How now, Kate! I must leave you within these two hours.",these two hours,TIME
903,A banish'd woman from my Harry's bed?,Harry,PERSON
914,Cry 'Courage! to the field!' And thou hast talk'd,Cry 'Courage,ORG
929,"What, ho!",ho,PERSON
933,Hath Butler brought those horses from the sheriff?,Hath Butler,PERSON
934,"One horse, my lord, he brought even now.",One,CARDINAL
939,Bid Butler lead him forth into the park.,Bid Butler,PERSON
940,Exit Servant,Exit Servant,PERSON
948,"I'll know your business, Harry, that I will.",Harry,PERSON
949,I fear my brother Mortimer doth stir,Mortimer,PERSON
955,"In faith, I'll break thy little finger, Harry,",Harry,PERSON
959,"I care not for thee, Kate: this is no world",Kate,PERSON
963,"What say'st thou, Kate? what would'st thou",Kate,PERSON
968,"Nay, tell me if you speak in jest or no.",Nay,ORG
969,"Come, wilt thou see me ride?",thou,GPE
971,"I love thee infinitely. But hark you, Kate,",Kate,PERSON
975,"This evening must I leave you, gentle Kate.",This evening,TIME
975,"This evening must I leave you, gentle Kate.",Kate,PERSON
977,"Than Harry Percy's wife: constant you are,",Harry Percy's,PERSON
980,"Thou wilt not utter what thou dost not know,",Thou,PERSON
981,"And so far will I trust thee, gentle Kate.",Kate,PERSON
983,"Not an inch further. But hark you, Kate:",Kate,PERSON
986,"Will this content you, Kate?",Kate,PERSON
989,"SCENE IV. The Boar's-Head Tavern, Eastcheap.",Eastcheap,PRODUCT
990,Enter PRINCE HENRY and POINS,PRINCE HENRY,PERSON
991,"Ned, prithee, come out of that fat room, and lend me",Ned,PERSON
993,"Where hast been, Hal?",Hal,PERSON
994,With three or four loggerheads amongst three or four,three,CARDINAL
994,With three or four loggerheads amongst three or four,three,CARDINAL
996,"base-string of humility. Sirrah, I am sworn brother",Sirrah,PERSON
998,"their christen names, as Tom, Dick, and Francis.",Tom,PERSON
998,"their christen names, as Tom, Dick, and Francis.",Dick,PERSON
998,"their christen names, as Tom, Dick, and Francis.",Francis,PERSON
1000,"though I be but the prince of Wales, yet I am king",Wales,GPE
1001,"of courtesy, and tell me flatly I am no proud Jack,",Jack,PERSON
1002,"like Falstaff, but a Corinthian, a lad of mettle, a",Falstaff,GPE
1002,"like Falstaff, but a Corinthian, a lad of mettle, a",Corinthian,NORP
1004,"am king of England, I shall command all the good",England,GPE
1005,"lads in Eastcheap. They call drinking deep, dyeing",Eastcheap,GPE
1007,"cry  'hem!' and bid you play it off. To conclude, I",cry  'hem,PERSON
1008,"am so good a proficient in one quarter of an hour,",one quarter,DATE
1010,"during my life. I tell thee, Ned, thou hast lost",Ned,PERSON
1013,"Ned, I give thee this pennyworth of sugar, clapped",Ned,PERSON
1015,never spake other English in his life than 'Eight,English,LANGUAGE
1017,"this shrill addition, 'Anon, anon, sir! Score a pint",Anon,LOC
1018,"of bastard in the Half-Moon,' or so. But, Ned, to",Ned,PERSON
1019,"drive away the time till Falstaff come, I prithee,",Falstaff,GPE
1020,"do thou stand in some by-room, while I question my",thou,GPE
1022,"thou never leave calling 'Francis,' that his tale",thou,GPE
1022,"thou never leave calling 'Francis,' that his tale",Francis,PERSON
1023,"to me may be nothing but 'Anon.' Step aside, and",Anon,LOC
1025,Francis!,Francis,PERSON
1027,Francis!,Francis,PERSON
1028,Exit POINS,Exit POINS,FAC
1030,"Anon, anon, sir. Look down into the Pomgarnet, Ralph.",Anon,LOC
1030,"Anon, anon, sir. Look down into the Pomgarnet, Ralph.",Ralph,PERSON
1031,"Come hither, Francis.",Francis,PERSON
1033,"How long hast thou to serve, Francis?",Francis,PERSON
1034,"Forsooth, five years, and as much as to--",five years,DATE
1035,[Within]  Francis!,Francis,PERSON
1036,"Anon, anon, sir.",Anon,LOC
1037,"Five year! by'r lady, a long lease for the clinking",Five year,DATE
1038,"of pewter. But, Francis, darest thou be so valiant",Francis,PERSON
1042,"England, I could find in my heart.",England,GPE
1043,[Within]  Francis!,Francis,PERSON
1044,"Anon, sir.",Anon,LOC
1045,"How old art thou, Francis?",Francis,PERSON
1046,Let me see--about Michaelmas next I shall be--,Michaelmas,PERSON
1047,[Within]  Francis!,Francis,PERSON
1048,"Anon, sir. Pray stay a little, my lord.",Anon,LOC
1049,"Nay, but hark you, Francis: for the sugar thou",Francis,PERSON
1050,"gavest me,'twas a pennyworth, wast't not?",gavest,ORG
1051,"O Lord, I would it had been two!",two,CARDINAL
1052,I will give thee for it a thousand pound: ask me,a thousand pound,QUANTITY
1053,"when thou wilt, and thou shalt have it.",thou,GPE
1054,[Within]  Francis!,Francis,PERSON
1055,"Anon, anon.",Anon,LOC
1056,"Anon, Francis? No, Francis, but to-morrow, Francis,",Francis,PERSON
1056,"Anon, Francis? No, Francis, but to-morrow, Francis,",Francis,PERSON
1056,"Anon, Francis? No, Francis, but to-morrow, Francis,",Francis,PERSON
1057,"or, Francis, o' Thursday, or indeed, Francis, when",Francis,PERSON
1057,"or, Francis, o' Thursday, or indeed, Francis, when",' Thursday,DATE
1057,"or, Francis, o' Thursday, or indeed, Francis, when",Francis,PERSON
1058,"thou wilt. But, Francis!",thou,GPE
1058,"thou wilt. But, Francis!",Francis,PERSON
1062,"smooth-tongue, Spanish-pouch,--",Spanish,NORP
1065,"for look you, Francis, your white canvas doublet",Francis,PERSON
1066,"will sully: in Barbary, sir, it cannot come to so much.",Barbary,GPE
1068,[Within]  Francis!,Francis,PERSON
1074,Exit Francis,Exit Francis,PERSON
1075,"My lord, old Sir John, with half-a-dozen more, are",John,PERSON
1075,"My lord, old Sir John, with half-a-dozen more, are",half-a-dozen,CARDINAL
1078,Exit Vintner,Exit Vintner,PERSON
1081,"Anon, anon, sir.",Anon,LOC
1082,"Sirrah, Falstaff and the rest of the thieves are at","Sirrah, Falstaff",ORG
1088,humours since the old days of goodman Adam to the,the old days,DATE
1088,humours since the old days of goodman Adam to the,Adam,PERSON
1089,pupil age of this present twelve o'clock at midnight.,twelve o'clock,TIME
1089,pupil age of this present twelve o'clock at midnight.,midnight,TIME
1091,"What's o'clock, Francis?",Francis,PERSON
1092,"Anon, anon, sir.",Anon,LOC
1093,Exit,Exit,GPE
1097,"a reckoning. I am not yet of Percy's mind, the",Percy,PERSON
1098,"Hotspur of the north, he that kills me some six or",some six,CARDINAL
1099,"seven dozen of Scots at a breakfast, washes his",seven dozen,CARDINAL
1099,"seven dozen of Scots at a breakfast, washes his",Scots,ORG
1101,"life! I want work.' 'O my sweet Harry,' says she,",Harry,PERSON
1104,"fourteen,' an hour after, 'a trifle, a trifle.' I",fourteen,DATE
1105,"prithee, call in Falstaff: I'll play Percy, and",Falstaff,GPE
1105,"prithee, call in Falstaff: I'll play Percy, and",Percy,PERSON
1106,that damned brawn shall play Dame Mortimer his,Dame Mortimer,WORK_OF_ART
1108,"Enter FALSTAFF, GADSHILL, BARDOLPH, and PETO, FRANCIS following with wine",GADSHILL,ORG
1108,"Enter FALSTAFF, GADSHILL, BARDOLPH, and PETO, FRANCIS following with wine",BARDOLPH,ORG
1108,"Enter FALSTAFF, GADSHILL, BARDOLPH, and PETO, FRANCIS following with wine",PETO,ORG
1109,"Welcome, Jack: where hast thou been?",Jack,PERSON
1111,"marry, and amen! Give me a cup of sack, boy. Ere I",marry,PERSON
1116,Didst thou never see Titan kiss a dish of butter?,Titan,GPE
1117,"pitiful-hearted Titan, that melted at the sweet tale",Titan,GPE
1118,"of the sun's! if thou didst, then behold that compound.",thou,NORP
1122,"in it. A villanous coward! Go thy ways, old Jack,",Jack,PERSON
1123,"die when thou wilt, if manhood, good manhood, be",thou,GPE
1125,shotten herring. There live not three good men,three,CARDINAL
1126,"unhanged in England, and one of them is fat and",England,GPE
1126,"unhanged in England, and one of them is fat and",one,CARDINAL
1140,thee coward: but I would give a thousand pound I,a thousand pound,QUANTITY
1151,"A plague of all cowards, still say I.",I.,ORG
1153,What's the matter! there be four of us here have,four,CARDINAL
1154,ta'en a thousand pound this day morning.,a thousand pound,QUANTITY
1154,ta'en a thousand pound this day morning.,this day,DATE
1155,"Where is it, Jack? where is it?",Jack,PERSON
1156,Where is it! taken from us it is: a hundred upon,a hundred,CARDINAL
1157,poor four of us.,four,CARDINAL
1158,"What, a hundred, man?",a hundred,CARDINAL
1160,dozen of them two hours together. I have 'scaped by,dozen,CARDINAL
1160,dozen of them two hours together. I have 'scaped by,two hours,TIME
1161,miracle. I am eight times thrust through the,eight,CARDINAL
1162,"doublet, four through the hose, my buckler cut",four,CARDINAL
1162,"doublet, four through the hose, my buckler cut",hose,PERSON
1169,We four set upon some dozen--,four,CARDINAL
1170,"Sixteen at least, my lord.",Sixteen,CARDINAL
1174,"am a Jew else, an Ebrew Jew.",Jew,NORP
1175,"As we were sharing, some six or seven fresh men set upon us--",some six,CARDINAL
1175,"As we were sharing, some six or seven fresh men set upon us--",seven,CARDINAL
1179,"not with fifty of them, I am a bunch of radish: if",fifty,CARDINAL
1180,there were not two or three and fifty upon poor old,two,CARDINAL
1180,there were not two or three and fifty upon poor old,three,CARDINAL
1180,there were not two or three and fifty upon poor old,fifty,CARDINAL
1181,"Jack, then am I no two-legged creature.",Jack,PERSON
1181,"Jack, then am I no two-legged creature.",two,CARDINAL
1183,"Nay, that's past praying for: I have peppered two",two,CARDINAL
1184,"of them, two I am sure I have paid, two rogues",two,CARDINAL
1184,"of them, two I am sure I have paid, two rogues",two,CARDINAL
1185,"in buckram suits. I tell thee what, Hal, if I tell",Hal,PERSON
1188,point. Four rogues in buckram let drive at me--,Four,CARDINAL
1189,"What, four? thou saidst but two even now.",four,CARDINAL
1189,"What, four? thou saidst but two even now.",thou,GPE
1189,"What, four? thou saidst but two even now.",two,CARDINAL
1190,"Four, Hal, I told thee four.",Four,CARDINAL
1190,"Four, Hal, I told thee four.",Hal,PERSON
