line_id,sentence,word,chosen_synset,definition
3397,"Sound a flourish. Enter CHARLES, ALENCON, and REIGNIER, marching with drum and Soldiers",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
3415,"Sound, sound alarum! we will rush on them.",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
3465,By this means shall we sound what skill she hath.,sound,sound.v.04,announce by means of a sound
3738,Or with light skirmishes enfeebled.,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
3750,"Whilst any trump did sound, or drum struck up,",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
3766,"Play on the lute, beholding the towns burn:",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
3968,"Here sound retreat, and cease our hot pursuit.",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
4856,Hark! by the sound of drum you may perceive,sound,sound.v.04,announce by means of a sound
4858,"Here sound an English march. Enter, and pass over at a distance, TALBOT and his forces",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
4865,Trumpets sound a parley,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
5161,"Prettily, methought, did play the orator.",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
5230,"Out, some light horsemen, and peruse their wings.",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
5716,A plaguing mischief light on Charles and thee!,light,inner_light.n.01,a divine presence believed by Quakers to enlighten and guide the soul
5834,"Trumpets sound. Enter REIGNIER, below",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
5979,"Then lead me hence, with whom I leave my curse:",lead,lead.n.15,mixture of graphite with clay in different degrees of hardness; the marking substance in a pencil
6529,To play my part in Fortune's pageant.,play,gambling.n.01,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
6668,"That she will light to listen to the lays,",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
6679,"Sound a sennet. Enter KING HENRY VI, GLOUCESTER,  CARDINAL, BUCKINGHAM, YORK, SOMERSET, SALISBURY, WARWICK, and the DUCHESS",sound,sound.n.01,the particular auditory effect produced by a given cause
6986,"Gives light in darkness, comfort in despair!",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
7221,"Sound trumpets. Enter KING HENRY VI, QUEEN  MARGARET, GLOUCESTER, YORK, SUFFOLK, and SALISBURY,  the DUCHESS, MARGARET JOURDAIN, SOUTHWELL, HUME, and BOLINGBROKE, under guard",sound,sound.n.01,the particular auditory effect produced by a given cause
7313,"Sound, trumpets, alarum to the combatants!",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
7327,Sound a flourish. Exeunt,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
7371,"No, dark shall be my light and night my day,",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
7444,"Go, lead the way, I long to see my prison.",lead,lead.n.09,(baseball) the position taken by a base runner preparing to advance to the next base
7448,"Sound a sennet. Enter KING HENRY VI, QUEEN  MARGARET, CARDINAL, SUFFOLK, YORK, BUCKINGHAM, SALISBURY and WARWICK to the Parliament",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
7513,Which time will bring to light in smooth,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
7603,"But mine is made the prologue to their play,",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
7682,"Or as the snake roll'd in a flowering bank,",bank,bank.v.04,act as the banker in a game or in gambling
7767,"To Ireland will you lead a band of men,",lead,leash.n.01,restraint consisting of a rope (or light chain) used to restrain an animal
7861,"Sound trumpets. Enter KING HENRY VI, QUEEN MARGARET, CARDINAL, SOMERSET, with Attendants",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
7895,Can chase away the first-conceived sound?,sound,sound.n.01,the particular auditory effect produced by a given cause
7934,And twice by awkward wind from England's bank,bank,depository_financial_institution.n.01,a financial institution that accepts deposits and channels the money into lending activities
8354,"Thy name affrights me, in whose sound is death.",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
8926,Sound a parley,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
8928,"sound retreat or parley, when I command them kill?",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
8937,Or let a rebel lead you to your deaths?,lead,run.v.23,cause something to pass or lead somewhere
8956,"shift for one, and so, God's curse light upon you",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
8998,"Sound Trumpets. Enter KING HENRY VI, QUEEN MARGARET, and SOMERSET, on the terrace",sound,sound.n.01,the particular auditory effect produced by a given cause
9322,"What, wilt thou on thy death-bed play the ruffian,",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
9519,"Sound drums and trumpets, and to London all:",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
9646,"Sound drums and trumpets, and the king will fly.",sound,sound.n.01,the particular auditory effect produced by a given cause
9814,"No, I can better play the orator.",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
10179,"Now are they but one lamp, one light, one sun.",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
10350,"But sound the trumpets, and about our task.",sound,sound.n.01,the particular auditory effect produced by a given cause
10538,Sound trumpets! let our bloody colours wave!,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
10627,"When dying clouds contend with growing light,",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
10774,"Which, whiles it lasted, gave King Henry light.",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
10833,"Now death shall stop his dismal threatening sound,",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
10990,"In God's name, lead, your king's name be obey'd:",lead,head.v.02,be in charge of
11202,"I'll play the orator as well as Nestor,",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
11562,"To play the broker in mine own behalf,",play,gambling.n.01,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
11606,Belike she minds to play the Amazon.,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
11752,They lead him out forcibly,lead,run.v.03,"stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point"
11877,While I myself will lead a private life,lead,lead.n.01,an advantage held by a competitor in a race
12019,"Sound trumpet, Edward shall be here proclaim'd:",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
12133,"Go, trumpet, to the walls, and sound a parle.",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
12593,That I should snarl and bite and play the dog.,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
12600,"Clarence, beware, thou keep'st me from the light:",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
12621,"Ne'er spurr'd their coursers at the trumpet's sound,",sound,sound.n.01,the particular auditory effect produced by a given cause
12657,Sound drums and trumpets! farewell sour annoy!,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
12681,"should have play for lack of work. Would, for the",play,gambling.n.01,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
12749,In his bright radiance and collateral light,light,light.s.03,(used of soil) loose and large-grained in consistency
13315,"and though the devil lead the measure, such are to",lead,lead.n.05,the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)
13344,"In this my light deliverance, I have spoke",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
13438,"What is infirm from your sound parts shall fly,",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
13448,His powerful sound within an organ weak:,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
13540,I play the noble housewife with the time,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
13599,able to lead her a coranto.,lead,lead.n.02,a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey
13884,"You had my prayers to lead them on, and to keep them",lead,run.v.23,cause something to pass or lead somewhere
13969,"of me, there can be no kernel in this light nut, the",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
14217,"And fortune play upon thy prosperous helm,",play,maneuver.n.03,a deliberate coordinated movement requiring dexterity and skill
14260,That he does weigh too light: my greatest grief.,light,light.n.01,(physics) electromagnetic radiation that can produce a visual sensation
14503,"Now will I lead you to the house, and show you",lead,lead.n.05,the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)
14652,"And, hoodwink'd as thou art, will lead thee on",lead,lead.n.05,the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)
14680,"If quick fire of youth light not your mind,",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
14926,"sound, upon my life, amounts not to fifteen thousand",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
15121,Defiles the pitchy night: so lust doth play,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
15151,thousand salads ere we light on such another herb.,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
15340,Trumpets sound,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
15736,"The king's a beggar, now the play is done:",play,play.n.05,a state in which action is feasible
16510,We'll light upon some settled low content.,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
16852,Wherein we play in.,play,play.v.15,"put (a card or piece) into play during a game, or act strategically as if in a card game"
16877,"And whistles in his sound. Last scene of all,",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
17234,lackey and under that habit play the knave with him.,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
17347,me to wash your liver as clean as a sound sheep's,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
17517,I'll prove a busy actor in their play.,play,play.v.15,"put (a card or piece) into play during a game, or act strategically as if in a card game"
17912,"And play the swaggerer, bear this, bear all:",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
17969,instrument and play false strains upon thee! not to,play,fun.n.02,verbal wit or mockery (often at another's expense but not to be taken seriously)
18070,We'll lead you thither.,lead,run.v.23,cause something to pass or lead somewhere
18513,"Play, music! And you, brides and bridegrooms all,",play,maneuver.n.03,a deliberate coordinated movement requiring dexterity and skill
18545,"no bush, 'tis true that a good play needs no",play,act.v.03,play a role or part
18550,you in the behalf of a good play! I am not,play,gambling.n.01,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
18554,"you bear to men, to like as much of this play as",play,gambling.n.01,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
18558,women the play may please. If I were a woman I,play,play.v.15,"put (a card or piece) into play during a game, or act strategically as if in a card game"
18836,No more light answers. Let our officers,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
18954,"Belong to Egypt: good now, play one scene",play,bid.n.02,an attempt to get something
19299,"Once name you derogately, when to sound your name",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
19367,I'll play the penitent to you: but mine honesty,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
19458,Whither straight I'll lead you.,lead,run.v.23,cause something to pass or lead somewhere
19471,made the night light with drinking.,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
19577,"If thou dost play with him at any game,",play,play.v.15,"put (a card or piece) into play during a game, or act strategically as if in a card game"
19624,"My arm is sore, best play with Mardian.",play,play.n.05,a state in which action is feasible
19626,"As with a woman. Come, you'll play with me, sir?",play,play.v.15,"put (a card or piece) into play during a game, or act strategically as if in a card game"
19764,Lead me from hence:,lead,run.v.23,cause something to pass or lead somewhere
19776,But do not speak to me. Lead me to my chamber.,lead,lead.n.02,a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey
19884,"Will you lead, lords?",lead,run.v.23,cause something to pass or lead somewhere
20032,"'Tis not my profit that does lead mine honour,",lead,jumper_cable.n.01,a jumper that consists of a short piece of wire
20105,"To these great fellows: sound and be hang'd, sound out!",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
20106,"Sound a flourish, with drums",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
20240,Let all the number of the stars give light,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
20245,Trumpets sound. Exeunt,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
20762,"Is he come back? Love, I am full of lead.",lead,lead.n.05,the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)
21145,"I hope well of to-morrow, and will lead you",lead,lead.n.05,the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)
21243,Lead me.,lead,run.v.23,cause something to pass or lead somewhere
21249,"Trumpets sound. Enter MARK ANTONY and EROS, a Soldier meeting them",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
22100,"He'll lead me, then, in triumph?",lead,lead.n.01,an advantage held by a competitor in a race
22255,To play till doomsday. Bring our crown and all.,play,maneuver.n.03,a deliberate coordinated movement requiring dexterity and skill
22362,"I'll mend it, and then play.",play,maneuver.n.03,a deliberate coordinated movement requiring dexterity and skill
22495,For what obscured light the heavens did grant,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
22519,"And by the benefit of his wished light,",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
22943,"For two, and sound ones too.",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
22945,"Nay, not sound, I pray you.",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
23001,"For if we too be one and thou play false,",play,play.v.15,"put (a card or piece) into play during a game, or act strategically as if in a card game"
23079,"Come, sister. Dromio, play the porter well.",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
23316,"Let Love, being light, be drowned if she sink!",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
23339,Thee will I love and with thee lead my life:,lead,lead.n.05,the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)
23372,lamp of her and run from her by her own light. I,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
23758,she comes in the habit of a light wench: and thereof,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
23760,much to say 'God make me a light wench.' It is,light,inner_light.n.01,a divine presence believed by Quakers to enlighten and guide the soul
23761,"written, they appear to men like angels of light:",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
23762,"light is an effect of fire, and fire will burn,",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
23763,"ergo, light wenches will burn. Come not near her.",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
23817,"I tell you, 'twill sound harshly in her ears.",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
23995,I long that we were safe and sound aboard.,sound,sound.a.01,financially secure and safe
24090,And therefore comes it that his head is light.,light,light.n.01,(physics) electromagnetic radiation that can produce a visual sensation
24477,We'll draw cuts for the senior: till then lead thou first.,lead,lead.n.05,the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)
24664,Upon your favours swims with fins of lead,lead,lead.n.15,mixture of graphite with clay in different degrees of hardness; the marking substance in a pencil
24745,[To COMINIUS]                Lead you on.,lead,run.v.23,cause something to pass or lead somewhere
24809,These three lead on this preparation,lead,run.v.23,cause something to pass or lead somewhere
24916,"Come, lay aside your stitchery, I must have you play",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
24977,They sound a parley. Enter two Senators with others on the walls,sound,strait.n.01,a narrow channel of the sea joining two larger bodies of water
25003,"All the contagion of the south light on you,",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
25083,"Go, sound thy trumpet in the market-place,",sound,sound.n.01,the particular auditory effect produced by a given cause
25096,"Lead their successes as we wish our own,",lead,leave.v.07,have as a result or residue
25123,More than I know the sound of Marcius' tongue,sound,sound.n.02,the subjective sensation of hearing something
25130,"In arms as sound as when I woo'd, in heart",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
25286,Never sound more! when drums and trumpets shall,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
25312,"Flourish. Trumpets sound, and drums",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
25551,"A sennet. Trumpets sound. Enter COMINIUS the  general, and TITUS LARTIUS, between them, CORIOLANUS,  crowned with an oaken garland, with Captains and Soldiers, and a Herald",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
25583,"And I could laugh, I am light and heavy. Welcome.",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
26125,I'll have five hundred voices of that sound.,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
26644,False to my nature? Rather say I play,play,bid.n.02,an attempt to get something
27289,And harsh in sound to thine.,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
28344,"Drums and trumpets sound, with great shouts of the People",sound,fathom.v.02,measure the depth of (a body of water) with a sounding line
28883,strange fowl light upon neighbouring ponds. Your,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
29211,Base and unlustrous as the smoky light,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
29229,That play with all infirmities for gold,play,play.n.01,a dramatic work intended for performance by actors on a stage
29943,"for light, else, sir, no more tribute, pray you now.",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
30665,"Will play the cook and servant, 'tis our match:",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
30785,play the workman. I dare speak it to myself--for it,play,gambling.n.01,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
30980,"Play judge and executioner all himself,",play,maneuver.n.03,a deliberate coordinated movement requiring dexterity and skill
31024,You and Fidele play the cooks: I'll stay,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
31077,Who ever yet could sound thy bottom? find,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
31110,And do not play in wench-like words with that,play,play.v.02,act or have an effect in a specified way or with a specific effect or outcome
31437,"Lead, lead.",lead,run.v.23,cause something to pass or lead somewhere
31645,"Though light, take pieces for the figure's sake:",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
31793,"light, the purse too light, being drawn of",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
32109,"Shall's have a play of this? Thou scornful page,",play,play.n.02,a theatrical performance of a drama
32580,"If thou hast any sound, or use of voice,",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
32720,For they are actions that a man might play:,play,play.n.01,a dramatic work intended for performance by actors on a stage
32862,"And at the sound it shrunk in haste away,",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
32909,I doubt some foul play: would the night were come!,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
33038,"Giving more light than heat, extinct in both,",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
33168,"Where wilt thou lead me? speak, I'll go no further.",lead,lead.v.04,travel in front of; go in advance of others
33430,"Your party in converse, him you would sound,",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
33496,"And, to the last, bended their light on me.",light,inner_light.n.01,a divine presence believed by Quakers to enlighten and guide the soul
33697,"If circumstances lead me, I will find",lead,run.v.23,cause something to pass or lead somewhere
33808,"Truly, and I hold ambition of so airy and light a",light,light.n.02,any device serving as a source of illumination
33946,Plautus too light. For the law of writ and the,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
33981,"play, I remember, pleased not the million, 'twas",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
33984,"cried in the top of mine--an excellent play, well",play,turn.n.03,(game) the activity of doing something in an agreed succession
34006,That lend a tyrannous and damned light,light,light.n.01,(physics) electromagnetic radiation that can produce a visual sensation
34081,"Follow him, friends: we'll hear a play to-morrow.",play,gambling.n.01,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
34083,"Dost thou hear me, old friend, can you play the",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
34140,That guilty creatures sitting at a play,play,act.v.03,play a role or part
34146,Play something like the murder of my father,play,turn.n.03,(game) the activity of doing something in an agreed succession
34155,More relative than this: the play 's the thing,play,play.n.08,activity by children that is guided more by imagination than by fixed rules
34183,This night to play before him.,play,bid.n.02,an attempt to get something
34308,"Let the doors be shut upon him, that he may play the",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
34361,"But, if you hold it fit, after the play",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
34402,"players that I have seen play, and heard others",play,maneuver.n.03,a deliberate coordinated movement requiring dexterity and skill
34411,"O, reform it altogether. And let those that play",play,maneuver.n.03,a deliberate coordinated movement requiring dexterity and skill
34416,question of the play be then to be considered:,play,play.v.12,pretend to be somebody in the framework of a game or playful activity
34449,To sound what stop she please. Give me that man,sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
34453,"There is a play to-night before the king,",play,gambling.n.01,the act of playing for stakes in the hope of winning (including the payment of a price for a chance to win a prize)
34467,"If he steal aught the whilst this play is playing,",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
34469,"They are coming to the play, I must be idle:",play,play.v.12,pretend to be somebody in the framework of a game or playful activity
34515,Hautboys play. The dumb-show enters,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
34516,"Enter a King and a Queen very lovingly, the Queen  embracing him, and he her. She kneels, and makes  show of protestation unto him. He takes her up,  and declines his head upon her neck: lays him down  upon a bank of flowers: she, seeing him asleep,  leaves him. Anon comes in a fellow, takes off his  crown, kisses it, and pours poison in the King's  ears, and exit. The Queen returns, finds the King  dead, and makes passionate action. The Poisoner,  with some two or three Mutes, comes in again,  seeming to lament with her. The dead body is  carried away. The Poisoner wooes the Queen with  gifts: she seems loath and unwilling awhile, but in the end accepts his love",bank,bank.n.07,a slope in the turn of a road or track; the outside is higher than the inside in order to reduce the effects of centrifugal force
34520,Belike this show imports the argument of the play.,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
34527,"You are naught, you are naught: I'll mark the play.",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
34585,"Whether love lead fortune, or else fortune love.",lead,run.v.23,cause something to pass or lead somewhere
34598,"Nor earth to me give food, nor heaven light!",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
34614,"Madam, how like you this play?",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
34620,What do you call the play?,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
34621,"The Mouse-trap. Marry, how? Tropically. This play",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
34653,Give o'er the play.,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
34654,Give me some light: away!,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
34658,"The hart ungalled play,",play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
34735,I do not well understand that. Will you play upon,play,play.n.08,activity by children that is guided more by imagination than by fixed rules
34749,"me! You would play upon me, you would seem to know",play,play.v.09,"move or seem to move quickly, lightly, or irregularly"
34751,"mystery, you would sound me from my lowest note to",sound,phone.n.02,(phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
34757,cannot play upon me.,play,playing_period.n.01,(in games or plays or other performances) the time during which play proceeds
35669,"dumb, yet are they much too light for the bore of",light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
35770,The light and careless livery that it wears,light,luminosity.n.01,the quality of being luminous; emitting or reflecting light
